vibration,current_voltage,temperature,pressure,fuel_usage,emission,torque,load_today,rpm,machine_health
8.8,259.25,32.2,1.83,75.85,0.2,108.9,67,2582,55.98
7.03,281.55,81.6,4.15,99.03,3.62,349.9,13,2114,38.95
4.23,382.66,41.4,6.93,75.33,4.41,342.7,21,2578,39.88
7.39,285.45,83.9,1.74,43.75,2.33,295.4,90,2791,37.95
5.06,388.69,51.8,1.02,80.21,4.09,353.5,35,977,45.94
3.15,269.87,51.0,6.11,88.21,4.6,239.2,57,2677,41.56
4.56,298.87,57.8,9.35,92.49,4.16,90.3,58,1473,45.37
9.16,366.0,114.0,1.87,47.08,2.68,146.8,65,1797,37.53
1.35,394.77,60.4,6.67,27.44,1.43,205.3,21,2194,60.35
2.44,466.69,93.8,1.25,81.85,3.81,188.1,33,1604,45.75
0.93,374.48,87.7,8.8,82.52,1.27,322.5,77,2894,39.59
8.74,208.78,55.2,2.75,39.06,2.55,489.0,22,1242,48.43
2.43,396.14,79.6,3.44,21.94,2.24,442.5,79,2696,40.99
8.52,446.69,111.4,5.69,6.01,1.69,205.5,76,2928,28.39
3.75,373.44,77.3,8.72,40.62,1.69,345.2,86,855,39.0
7.03,380.56,67.7,7.4,60.6,3.16,172.7,25,599,38.98
6.43,342.64,31.7,6.82,44.47,0.99,313.5,73,2341,45.85
0.23,436.66,101.1,8.49,80.08,1.38,68.7,53,876,47.67
9.17,295.49,111.6,1.45,53.93,1.83,207.7,62,2838,35.79
8.6,368.99,77.6,2.16,14.17,2.78,146.5,14,1550,53.39
6.12,201.29,102.9,4.54,41.9,4.28,217.5,52,910,42.78
3.64,311.7,111.9,9.4,54.03,0.87,407.4,78,2157,39.47
3.48,426.97,104.5,7.85,21.0,0.29,410.9,96,1805,41.1
9.79,228.7,87.8,4.35,47.79,1.81,108.5,8,2795,43.64
0.82,226.63,65.0,3.34,23.57,4.01,497.0,87,1639,55.01
5.21,460.86,111.0,6.39,37.59,2.59,401.9,62,1233,34.58
2.0,463.5,36.4,9.25,75.79,2.98,240.6,89,702,39.32
7.69,376.44,75.2,6.75,82.05,2.9,330.4,84,2580,23.94
6.17,424.83,70.8,9.58,15.82,3.13,54.2,14,984,46.56
2.27,281.42,69.0,4.59,33.1,2.49,92.0,56,788,60.97
3.84,337.51,82.7,2.11,79.06,4.07,417.6,52,1416,42.27
6.65,283.32,69.9,6.8,47.94,4.69,59.6,80,1559,43.73
5.2,457.57,21.8,7.92,56.65,1.04,127.7,48,2647,48.71
6.84,346.89,33.3,1.33,63.87,3.74,86.1,3,2345,53.89
8.8,253.01,75.4,7.24,33.21,3.07,77.3,20,1515,50.4
2.0,321.21,87.7,8.98,86.22,4.54,330.2,87,2832,26.37
9.76,417.17,81.6,3.3,58.86,4.14,266.1,64,2136,25.4
4.23,430.46,90.3,7.33,30.6,2.42,233.5,57,2935,34.47
6.51,330.02,70.4,3.75,98.53,3.43,281.4,71,1914,35.19
0.71,473.31,76.8,6.72,20.63,3.82,442.8,44,778,43.36
2.1,380.06,47.0,9.65,80.22,3.66,288.9,4,2554,44.73
4.72,403.25,58.4,2.25,62.32,1.19,83.7,91,1663,56.57
1.24,408.21,41.9,1.37,41.18,1.36,56.5,8,1210,75.86
8.3,237.67,55.6,5.17,90.8,3.2,175.4,52,1372,42.88
6.62,336.94,84.4,8.12,72.92,3.2,222.4,88,2797,25.37
0.26,351.76,101.6,6.09,54.53,2.06,58.1,45,2127,56.35
1.84,273.16,74.3,6.66,33.2,2.62,238.3,10,2734,56.41
0.86,343.11,98.4,7.0,93.76,4.78,179.6,65,1600,40.53
8.0,390.95,108.6,8.07,59.06,3.84,481.0,23,1661,26.54
7.88,350.15,86.0,4.18,91.53,3.44,194.1,66,840,32.55
4.43,320.88,21.6,9.61,88.02,2.51,96.8,86,2013,45.72
2.52,359.61,42.7,7.05,74.66,2.08,359.1,52,1668,53.61
4.64,446.96,114.5,1.6,28.66,2.72,104.2,13,1668,51.53
9.11,269.31,101.8,5.91,86.18,2.04,383.3,44,2690,29.1
0.51,267.83,77.5,5.84,59.97,2.73,321.5,27,2122,54.64
7.81,250.9,69.0,1.62,41.2,0.65,400.9,44,1988,54.32
1.41,401.15,97.4,9.4,14.35,4.78,87.8,47,758,42.11
0.47,234.51,30.6,9.44,60.42,3.33,317.6,74,1662,55.41
8.1,385.59,43.3,2.74,89.44,0.52,226.4,70,1157,48.46
8.6,437.64,28.1,6.61,93.08,4.58,102.0,45,1003,35.04
6.67,439.91,107.6,2.22,99.86,2.33,128.3,61,2485,32.3
2.77,346.74,82.3,7.58,22.55,1.66,484.4,63,1998,45.01
9.57,453.15,60.9,9.26,76.25,0.6,491.8,44,2237,28.39
4.02,236.34,108.3,8.49,42.47,3.21,312.3,6,2664,39.78
3.54,357.9,110.8,9.09,23.0,4.3,337.4,69,2626,30.43
9.61,311.03,42.8,1.96,36.07,1.81,256.8,33,1490,53.98
7.0,350.95,85.8,8.92,67.22,0.42,50.4,60,1936,46.79
1.64,446.52,87.9,9.58,44.54,4.66,135.0,18,1854,42.66
6.31,293.79,30.6,7.28,65.99,2.99,394.2,77,1627,42.93
9.12,411.6,61.4,6.71,30.85,3.42,380.2,77,1886,29.37
2.5,367.0,49.0,8.62,93.92,3.78,280.6,82,615,36.42
1.41,463.34,55.3,3.43,12.86,4.1,365.2,16,2923,46.31
5.16,264.3,75.0,2.44,10.49,4.46,154.4,74,1552,54.73
3.62,360.96,21.9,7.17,87.62,4.97,122.2,63,1661,48.86
2.94,373.72,100.1,3.09,56.29,3.1,326.9,63,2794,39.35
3.97,274.06,47.6,4.36,50.95,1.27,222.6,39,1128,62.52
1.42,334.35,105.4,9.18,72.93,1.01,302.2,84,538,39.7
2.68,204.15,32.6,2.87,60.41,1.26,56.4,6,1673,77.08
9.82,464.25,92.3,1.96,25.41,1.98,375.7,33,2455,32.41
9.82,472.09,101.0,4.81,30.25,4.99,348.0,76,2736,13.97
4.32,343.04,111.7,8.2,13.79,2.76,155.7,24,1838,46.46
0.35,263.98,107.0,4.08,56.34,2.35,396.9,95,2458,45.41
6.06,408.41,69.8,8.85,43.64,3.49,355.6,65,2185,31.49
9.63,274.86,59.8,5.52,41.6,2.24,326.6,81,2396,34.48
3.62,213.06,87.7,3.78,64.65,1.57,97.6,6,1205,64.97
4.26,209.8,94.0,5.48,26.67,0.22,392.6,4,658,57.18
7.21,269.6,99.2,8.55,56.89,1.59,428.8,58,1570,37.71
8.62,338.04,42.5,9.63,94.29,0.67,191.9,61,1407,42.83
3.62,222.49,48.2,6.99,23.44,0.45,249.9,72,2112,62.8
7.94,468.0,59.1,4.81,18.0,0.21,284.5,52,1013,47.47
3.51,206.89,101.4,1.23,19.07,3.44,215.9,49,501,51.08
5.43,311.84,44.8,7.69,40.94,1.39,410.8,35,2357,49.89
6.57,262.92,41.9,3.79,57.74,3.61,122.9,59,701,50.75
6.42,450.81,97.5,9.52,86.06,2.13,206.7,49,2063,29.59
9.79,206.2,80.0,4.08,17.65,1.28,196.4,39,1696,53.87
2.34,343.74,67.7,1.41,44.78,3.35,57.3,90,2284,55.1
6.71,365.96,84.0,4.17,86.21,2.54,383.0,50,805,33.76
4.29,297.85,91.8,1.52,26.52,4.52,441.7,77,742,39.65
9.32,399.2,75.0,1.57,64.13,3.39,269.4,32,2510,32.06
8.4,458.12,96.5,9.91,66.16,3.73,479.6,1,2800,15.65
2.56,206.62,33.3,2.82,49.29,1.81,253.8,2,2273,70.4
5.34,204.44,68.2,4.69,8.36,1.29,176.9,45,790,62.97
4.7,369.47,64.0,6.88,25.16,2.97,158.2,66,2175,45.97
4.77,321.67,32.5,3.5,53.5,4.98,196.3,15,2455,50.9
1.18,310.0,103.7,5.61,46.33,4.64,167.5,52,642,42.23
3.46,289.51,43.5,5.1,17.23,2.01,452.4,69,2640,50.02
9.86,385.79,106.8,9.81,91.66,3.63,435.7,68,1556,14.96
6.36,303.29,114.8,2.52,90.55,3.16,147.2,50,1014,38.8
9.69,304.27,79.9,2.0,64.09,1.56,281.0,80,1909,41.02
3.64,262.02,21.3,1.57,85.86,3.08,248.4,63,2679,54.89
2.49,478.71,27.1,3.57,87.63,2.44,243.5,48,2597,50.1
7.64,289.48,80.0,5.66,5.13,0.35,191.2,44,2260,53.73
1.61,379.37,26.8,4.97,94.64,2.71,195.9,19,1600,62.64
3.7,240.82,42.8,1.95,53.06,1.93,321.0,34,2713,59.75
8.9,255.43,47.5,7.2,57.06,3.08,431.7,91,645,30.49
4.93,444.93,37.5,3.69,38.94,0.6,287.5,97,1032,50.84
9.28,443.77,54.9,4.21,88.44,2.54,382.5,71,2131,27.64
4.32,244.59,56.8,4.97,90.74,0.11,380.2,98,1163,52.5
8.99,387.02,34.0,3.37,14.94,4.67,493.8,15,2952,35.37
2.37,337.13,95.8,5.92,81.62,4.88,134.5,5,1787,47.61
3.98,346.0,66.7,7.46,73.61,3.58,445.8,9,2135,42.45
6.25,225.35,51.2,5.95,5.2,1.99,254.8,11,1991,62.92
8.55,382.53,102.9,6.4,77.51,1.75,304.3,40,2142,31.03
5.38,208.22,56.2,9.63,54.54,1.08,440.2,69,1651,49.79
6.36,231.23,44.2,7.77,97.82,4.07,152.4,24,1505,50.01
3.21,321.63,117.5,2.29,75.74,2.33,181.8,30,1262,51.25
6.85,446.77,106.9,1.59,87.84,0.79,88.7,8,2559,42.1
4.93,351.49,111.7,9.94,23.92,3.56,266.7,47,2368,34.6
9.84,413.2,47.4,1.08,62.53,1.13,104.6,4,2753,48.07
1.29,260.43,35.4,8.71,70.15,0.63,179.2,1,1909,70.82
1.03,423.12,36.3,1.52,39.33,2.04,425.4,77,1137,60.39
9.71,474.33,63.5,4.78,58.84,4.43,345.1,72,800,20.84
6.21,343.51,39.2,5.88,83.94,2.92,408.4,63,2832,32.46
9.05,465.25,86.3,9.36,11.22,1.36,230.0,17,2261,38.32
7.92,347.08,97.6,5.82,56.46,4.03,451.8,62,2760,19.92
5.49,210.17,76.0,7.33,95.37,4.34,276.5,23,881,37.42
7.89,390.75,69.3,8.76,53.04,3.76,142.2,90,1515,32.03
1.07,295.3,32.5,6.98,47.1,4.82,463.1,6,2214,53.12
7.96,410.5,54.3,3.07,41.01,4.7,107.9,81,1818,38.56
8.09,466.1,83.2,2.31,47.73,1.17,186.2,0,1561,53.01
0.23,446.64,78.8,6.23,58.4,4.09,192.6,66,852,43.31
3.16,405.79,108.5,6.95,68.56,1.36,414.6,10,2865,36.66
6.88,459.29,91.8,5.7,71.16,3.43,345.6,1,502,30.18
8.69,384.56,109.7,4.49,76.26,4.22,212.5,18,917,30.15
0.26,318.46,28.9,5.8,5.96,1.38,355.9,34,1220,70.68
5.28,363.18,67.6,2.56,61.02,2.7,123.4,52,1487,53.27
1.92,212.29,79.7,2.97,11.97,1.8,164.1,25,1306,72.4
2.36,216.1,45.9,1.12,36.25,4.91,231.0,99,908,54.33
8.16,386.25,111.6,8.87,69.82,4.63,495.7,48,925,16.11
4.51,260.87,109.9,3.18,59.69,0.6,154.1,95,1282,51.47
8.71,245.58,63.9,3.64,61.77,2.02,253.7,17,572,47.51
9.29,455.92,86.9,2.14,29.96,3.81,100.5,94,1646,34.47
6.99,414.89,35.0,5.52,47.78,4.17,475.0,43,1460,38.69
9.02,392.3,59.9,2.97,12.02,2.96,99.2,7,2479,49.5
3.17,237.35,44.4,5.19,56.67,1.02,112.3,100,2835,53.23
5.99,459.45,74.3,8.79,93.21,4.42,202.8,76,2364,23.19
8.95,304.39,25.3,3.06,11.95,0.85,306.8,41,2107,56.0
3.23,253.96,118.8,6.62,82.26,3.56,364.1,60,1040,35.89
3.98,462.07,63.6,2.98,14.41,1.3,469.9,16,1397,56.27
3.08,465.9,107.8,9.25,70.56,0.68,64.8,64,1669,45.78
9.88,455.71,104.2,3.8,14.32,3.14,207.6,7,2070,37.01
9.38,393.51,119.8,3.28,46.37,2.41,481.1,79,1183,25.64
9.26,354.86,74.6,1.27,86.65,0.24,429.3,93,1123,36.84
8.99,472.07,24.7,6.65,24.0,0.42,140.4,71,570,45.73
8.74,367.95,86.7,4.57,46.91,2.26,312.8,0,1432,43.11
0.71,287.97,93.7,1.27,47.01,1.76,208.0,21,1159,64.96
7.76,364.97,101.1,2.33,89.73,4.97,269.7,30,1318,30.68
0.89,448.81,37.3,3.97,91.4,4.7,236.9,69,2758,42.49
6.09,474.93,49.1,8.81,25.55,0.57,429.1,29,1046,48.27
2.2,371.49,116.5,5.31,54.98,4.27,63.9,16,2042,45.92
3.82,441.95,105.7,3.6,46.99,1.62,472.4,3,2345,41.14
8.47,268.31,65.9,2.45,46.86,4.29,439.1,98,1603,34.83
1.22,470.83,68.8,7.59,88.69,4.63,420.9,41,770,31.4
4.01,333.46,47.4,7.87,97.93,5.0,214.8,74,1516,38.26
8.0,234.78,43.9,9.69,88.53,0.79,220.1,8,1223,52.87
2.14,405.66,82.4,1.81,94.67,1.56,213.3,22,1913,56.59
5.5,405.21,113.1,8.75,89.57,2.28,318.1,88,1719,26.37
9.6,462.51,97.7,4.32,13.83,3.91,183.6,88,2017,29.09
6.75,311.5,118.8,8.0,40.31,0.18,180.0,46,2506,39.4
6.37,332.92,55.9,1.47,40.09,1.42,142.3,48,2962,53.68
1.06,306.86,91.3,9.3,55.48,2.84,170.3,42,2208,49.78
7.29,381.25,115.2,6.78,6.85,0.33,126.8,83,2770,36.52
5.48,280.88,100.6,2.97,35.81,1.72,355.4,28,2719,46.72
0.98,333.81,39.7,8.62,11.58,2.09,264.5,92,527,52.95
3.65,387.7,87.7,3.49,53.17,2.85,263.3,87,2978,36.09
8.41,351.4,58.6,5.39,66.22,0.58,332.3,16,2678,44.76
6.06,442.12,103.4,4.9,50.28,0.79,305.9,42,2372,37.44
0.31,230.82,40.4,7.81,56.03,3.35,284.2,7,2243,60.35
1.65,421.12,106.7,6.93,62.35,2.65,111.6,78,2827,36.54
8.7,207.45,101.6,4.87,91.65,1.79,51.3,22,940,44.62
2.74,364.31,38.9,5.23,99.04,4.98,104.3,88,1823,44.27
0.91,259.24,32.6,3.32,98.14,1.89,183.7,100,2547,55.42
9.22,423.73,89.7,2.98,19.55,4.61,211.7,68,1086,32.32
8.27,398.39,70.3,3.41,8.22,1.08,209.7,32,1437,53.56
1.45,211.54,80.8,7.16,27.18,1.33,209.6,60,1046,61.78
6.99,295.07,42.1,8.2,83.0,0.34,244.8,11,703,49.65
9.74,278.6,87.6,4.65,67.12,2.57,144.7,48,2072,39.13
4.26,282.68,100.9,7.33,37.19,2.1,293.6,14,945,47.48
3.76,246.96,80.2,2.92,94.74,4.51,82.8,72,1362,47.19
2.73,357.42,69.3,3.88,16.17,3.41,314.5,23,1635,57.51
3.62,439.03,100.5,8.01,19.2,3.35,286.1,25,1516,42.79
4.56,204.01,36.7,7.82,26.08,3.6,320.9,28,645,53.07
0.53,383.13,51.6,9.96,44.56,4.06,239.5,86,1626,47.32
3.34,466.42,64.4,9.89,59.02,1.72,166.2,54,1089,45.73
1.0,250.31,88.0,6.87,42.45,4.75,84.6,96,509,45.24
6.45,204.34,57.9,9.23,62.11,4.3,294.6,92,1288,35.24
3.52,421.99,54.9,2.69,37.8,4.48,390.5,33,1296,50.34
4.02,421.11,45.2,2.35,32.97,1.34,219.6,96,2291,51.23
5.63,298.7,96.9,7.48,41.5,3.51,283.0,3,1603,47.08
0.21,291.54,86.2,9.1,63.35,2.4,134.3,87,2528,47.46
6.9,365.61,31.9,3.34,78.68,3.47,289.5,73,2427,38.58
9.05,378.47,39.7,5.62,40.73,4.1,333.9,11,1610,42.47
5.77,220.72,115.5,1.99,69.38,3.08,288.6,74,1499,45.2
6.82,436.95,84.8,5.88,41.1,3.69,114.6,45,779,36.22
4.6,347.72,82.7,3.85,72.7,1.23,124.0,100,1635,49.35
4.61,304.86,95.0,6.18,58.66,3.29,472.1,41,2616,33.91
6.84,374.48,50.1,4.25,44.54,0.74,180.6,54,1096,55.37
1.53,220.5,55.9,2.87,12.91,0.88,182.6,95,1621,70.85
6.45,267.25,50.7,2.16,48.2,1.14,102.6,80,1392,61.74
3.58,289.76,79.8,9.08,60.25,0.17,365.7,54,1247,52.5
8.82,208.67,47.7,2.66,24.05,3.73,225.0,68,923,46.13
7.49,316.93,114.8,8.35,35.5,2.0,454.4,30,1627,37.07
0.2,354.5,102.4,3.97,10.51,0.29,62.8,66,875,64.72
4.79,316.81,118.0,1.44,46.39,1.11,142.0,58,1243,53.8
2.24,411.42,99.8,1.48,71.15,3.51,269.4,34,1202,46.38
9.64,451.58,63.8,1.71,91.27,2.86,66.4,99,1936,33.47
5.74,291.13,23.9,1.77,32.21,0.85,426.8,19,779,61.78
2.33,297.23,84.3,1.68,9.94,2.56,151.5,48,1715,63.29
8.81,422.92,109.1,4.37,39.21,0.25,188.2,59,2105,39.81
9.91,346.77,40.8,6.95,60.86,3.17,194.7,18,1001,42.8
8.92,218.73,71.9,5.09,42.92,1.48,302.4,48,2082,46.47
5.06,317.57,24.8,3.22,84.7,2.29,229.6,48,986,56.7
5.28,372.09,94.2,1.86,71.96,0.27,109.8,18,2576,54.72
8.82,370.21,90.1,8.85,41.98,0.28,248.4,75,820,36.41
3.1,388.05,111.8,3.37,77.6,1.82,336.4,46,2111,40.79
9.67,365.86,73.3,8.87,77.01,1.01,72.9,79,751,35.36
1.63,311.16,37.5,6.14,38.52,1.26,456.7,74,708,55.05
1.34,321.95,81.2,5.13,22.34,2.72,322.3,57,2287,52.55
8.76,335.18,65.4,5.87,49.95,3.42,177.3,98,2081,34.07
9.31,465.23,84.4,7.56,49.31,4.98,483.1,66,2980,10.55
7.4,367.11,111.3,4.78,12.11,1.3,477.8,90,2830,29.03
8.35,447.62,60.4,9.19,6.52,3.68,466.2,34,2708,26.84
6.21,346.9,119.1,6.95,22.84,3.4,85.7,70,573,36.26
6.83,200.35,89.6,2.63,49.44,2.53,109.9,63,1345,53.61
8.22,257.78,117.1,5.23,21.95,2.51,125.9,5,970,45.88
7.08,465.57,100.7,4.29,47.22,4.7,492.2,2,505,26.68
5.12,285.31,95.1,4.15,62.29,3.25,436.0,54,2722,34.1
2.51,246.82,31.2,3.13,84.19,3.89,319.9,33,2211,56.95
7.59,227.51,94.6,3.91,38.49,3.05,55.4,24,2435,46.31
8.5,212.95,60.1,7.7,68.97,1.92,196.0,4,2371,46.8
8.3,426.62,92.0,3.71,12.34,1.16,426.1,82,1775,36.61
9.51,344.56,35.4,8.49,32.54,4.34,56.2,66,2851,33.17
3.69,292.33,111.7,9.54,92.2,1.57,344.1,72,2312,32.29
6.94,348.33,82.6,1.08,76.32,2.31,383.3,49,2379,38.16
5.59,374.52,86.9,9.64,33.76,1.76,316.9,29,2320,38.75
2.97,363.51,20.5,7.21,84.53,4.28,177.1,14,1524,57.35
6.6,409.48,116.4,9.75,80.68,4.04,304.1,43,1278,23.58
4.28,339.57,113.6,7.96,63.82,4.88,251.5,92,711,24.9
0.78,412.49,106.9,9.04,46.59,1.81,434.3,50,2418,37.57
1.87,391.53,46.2,4.71,82.35,4.13,54.9,35,780,52.32
7.67,249.59,22.7,3.85,81.28,4.84,110.0,94,1071,44.48
8.0,409.69,54.7,9.88,61.84,2.61,222.2,10,2109,38.38
3.45,360.14,117.3,3.06,93.79,4.92,68.8,6,2901,34.2
6.95,254.67,26.9,7.55,95.7,0.93,72.7,9,1172,59.93
6.38,478.19,45.3,1.32,11.15,1.78,260.0,89,2225,48.36
7.23,345.29,74.0,4.88,88.7,2.51,177.8,17,1247,45.22
1.94,400.22,93.7,4.81,56.08,2.74,472.6,11,1688,49.53
2.24,473.38,57.7,3.03,94.6,1.0,466.2,39,1466,52.24
2.18,273.78,93.1,1.86,31.58,3.65,99.4,37,775,56.62
1.64,221.27,29.2,1.77,6.51,4.05,205.1,88,865,62.69
0.46,341.74,98.8,6.93,70.2,2.33,235.3,80,2999,41.23
4.93,218.01,37.8,9.4,62.73,4.49,355.1,56,2725,38.98
5.31,408.65,87.5,6.8,88.98,2.67,409.3,6,2042,36.71
2.42,336.49,25.2,4.3,97.43,4.29,178.9,59,2512,45.84
3.33,349.01,44.4,7.33,71.85,3.86,427.1,71,2421,35.88
8.43,456.5,39.6,3.02,15.51,4.79,67.9,5,2683,44.58
1.1,265.07,83.0,3.96,27.28,3.46,455.1,18,2232,53.03
9.7,334.83,57.6,4.06,68.45,1.04,386.9,46,2394,36.95
3.06,333.91,41.9,2.8,42.1,3.94,279.2,87,1018,50.71
3.16,345.11,104.4,8.75,75.48,0.27,405.0,74,928,38.75
2.16,249.43,107.7,7.83,14.27,2.14,358.9,94,1678,48.01
9.18,441.34,41.5,4.65,29.35,0.69,223.3,9,2391,50.78
5.37,243.5,25.6,3.73,52.3,4.56,59.7,62,1174,56.58
5.29,455.07,111.6,6.39,25.59,3.7,262.7,27,2825,32.35
7.69,322.01,104.6,6.5,31.7,1.29,67.8,36,824,44.59
2.06,249.14,85.0,8.37,64.97,0.46,231.1,74,1419,57.22
1.56,216.0,104.1,8.96,5.16,4.03,297.2,31,2690,44.99
7.34,290.47,95.6,7.57,68.77,3.01,416.7,48,580,29.52
8.78,394.36,102.7,9.98,7.43,4.93,295.3,86,2615,17.25
5.55,455.46,27.2,8.46,76.56,4.84,136.3,75,2641,32.5
3.98,420.87,108.4,7.2,24.03,0.95,95.5,81,939,45.18
8.71,415.35,95.0,4.08,75.0,4.49,417.9,100,2080,18.19
8.8,404.49,52.8,9.52,24.26,4.11,383.3,94,1321,26.35
8.35,416.06,53.0,8.49,90.7,4.28,173.7,30,560,27.24
7.27,242.72,44.4,4.42,15.93,4.48,50.9,52,2631,49.17
4.94,405.47,115.9,8.15,44.53,2.21,240.2,75,2614,29.62
1.58,465.44,26.9,7.04,22.36,3.96,84.8,67,1959,55.41
3.7,235.18,105.5,7.09,41.5,4.14,411.6,22,1105,42.46
1.36,333.52,115.9,4.75,56.82,1.69,92.9,20,1785,57.87
6.9,310.47,42.3,3.49,88.86,1.89,123.4,39,684,51.34
5.9,283.17,38.7,7.46,60.89,4.12,262.1,91,2802,32.35
3.25,288.93,27.8,4.58,58.94,2.46,377.3,82,712,50.8
2.72,418.1,45.3,2.28,43.38,0.97,92.2,6,1078,68.29
7.2,451.52,80.8,4.89,74.05,3.54,307.4,1,2870,30.69
7.56,360.49,68.6,8.07,38.32,2.17,499.1,92,2115,30.67
0.95,364.37,113.3,2.64,83.92,2.57,236.8,27,1011,49.07
2.6,419.16,96.8,9.36,17.4,4.48,283.4,74,2301,32.35
7.35,339.71,30.1,5.19,59.54,4.6,81.7,48,608,41.17
8.16,418.46,101.8,6.54,86.57,0.82,175.3,100,961,29.3
1.97,263.87,22.4,2.24,22.8,2.43,253.3,25,716,71.9
0.81,442.5,25.3,2.56,19.99,4.35,185.7,38,1251,63.89
2.07,365.32,62.0,2.92,96.38,3.48,462.4,0,1376,51.67
7.61,357.35,53.2,3.45,57.15,1.68,497.3,19,2958,38.92
7.06,258.65,26.9,9.42,88.56,1.4,136.8,16,772,51.29
5.9,433.87,104.0,5.41,7.5,3.29,210.6,96,2960,29.54
1.76,323.14,72.4,2.01,70.93,1.87,69.1,56,2980,53.39
2.03,325.3,69.3,5.67,46.13,3.18,441.0,21,1121,49.71
5.31,219.83,85.5,4.19,87.56,2.02,52.6,75,2265,48.83
5.07,460.76,56.3,2.58,93.36,0.38,383.6,30,2495,46.8
4.41,318.73,95.4,2.75,12.01,0.9,192.9,87,2635,49.8
6.51,213.46,106.2,2.78,47.68,2.56,426.6,82,1025,38.8
9.7,274.18,93.6,4.38,40.05,2.21,105.6,56,2730,35.55
9.24,410.6,71.4,1.41,75.57,1.92,228.9,84,1124,37.68
6.54,322.02,114.2,7.9,41.91,4.74,416.8,87,2778,17.9
2.49,372.32,80.4,9.9,87.37,2.32,222.2,11,2419,41.82
3.02,202.22,40.5,5.63,58.89,0.62,354.8,38,2859,59.41
3.13,326.29,86.5,9.42,21.98,0.42,113.0,74,1390,58.09
9.41,475.95,113.2,6.13,35.7,2.53,98.3,65,1821,31.39
1.49,202.78,66.2,4.32,64.76,1.22,335.4,97,2582,54.19
2.78,364.85,30.2,2.05,64.36,3.46,231.9,97,1929,52.54
5.72,412.5,118.0,7.4,14.63,4.62,419.5,85,2391,20.82
4.42,297.09,69.6,5.62,99.05,0.93,434.1,19,904,49.12
1.21,355.9,107.3,6.13,77.71,0.55,468.5,95,865,40.34
8.85,424.12,115.1,4.07,10.28,4.63,475.0,93,1671,23.15
5.4,444.81,88.6,8.59,41.17,0.66,78.0,59,1481,48.28
3.58,429.8,83.8,7.83,28.18,0.43,220.6,56,1162,52.9
6.21,378.01,80.1,9.78,79.35,4.5,489.9,43,1142,25.69
7.77,347.56,21.8,9.18,68.56,3.18,89.2,19,1095,49.53
4.08,279.48,54.4,2.56,46.31,3.12,71.6,43,2716,54.24
2.5,462.5,72.9,1.18,27.16,1.89,343.6,39,563,51.23
8.04,463.79,77.3,6.5,85.48,0.21,268.1,55,1975,37.12
2.59,308.35,54.6,2.56,20.49,4.01,89.0,77,2868,51.9
8.1,254.18,47.3,4.62,25.66,4.74,131.8,42,2075,46.31
3.68,338.41,26.5,5.14,15.04,2.51,345.0,45,2798,53.57
1.72,438.28,33.3,1.21,38.39,0.84,282.5,14,735,67.78
2.46,436.82,91.7,1.5,30.35,1.48,344.0,80,585,45.24
0.54,465.04,87.1,4.22,16.2,4.39,69.9,71,2069,50.47
5.86,418.71,35.3,6.18,70.16,0.28,117.7,14,1362,61.19
9.43,305.0,114.8,5.57,12.5,0.28,121.3,15,1292,51.59
8.42,378.35,100.4,1.93,46.09,4.99,251.7,30,2288,33.36
2.19,427.34,79.4,7.98,69.02,0.57,92.9,51,1850,53.98
9.33,286.84,32.1,6.21,93.26,4.21,62.7,14,2735,38.27
5.69,235.53,59.0,4.76,63.45,0.93,55.3,56,2858,54.9
1.01,275.84,93.3,7.87,63.6,2.67,168.0,96,698,46.37
0.13,364.79,68.4,8.23,9.62,2.52,158.7,6,2365,63.16
4.03,445.36,64.8,7.77,40.66,0.25,252.3,5,2941,49.95
3.71,282.24,82.1,7.57,85.53,2.5,334.0,4,1880,47.37
7.83,453.62,51.9,6.28,28.47,4.76,491.0,0,2299,31.02
5.44,294.36,42.3,3.0,13.39,1.11,372.7,81,1033,57.79
3.32,251.41,102.1,6.61,18.87,0.53,445.3,7,723,55.75
7.8,368.9,86.2,1.64,46.44,4.88,169.3,73,942,35.26
1.78,276.0,108.5,2.53,83.69,0.7,220.6,91,2842,45.8
4.45,415.16,49.3,9.76,61.61,0.57,339.7,52,844,44.48
8.01,341.49,42.6,4.49,46.22,1.63,383.2,27,2810,43.78
2.7,392.08,119.2,1.91,17.93,4.58,398.9,100,1408,37.36
4.01,401.51,31.4,7.18,30.93,3.96,192.3,63,2485,45.86
7.57,295.74,76.5,7.28,29.54,4.78,465.8,76,2342,24.98
9.78,211.85,92.4,9.12,73.13,0.73,407.9,43,1240,37.24
9.02,222.96,103.2,4.8,9.29,1.23,432.8,20,1060,46.4
0.45,439.1,97.7,7.38,98.82,0.87,256.4,64,739,42.68
3.97,479.73,56.0,6.4,27.04,2.64,370.9,45,2852,41.24
7.4,223.1,100.8,2.67,35.06,4.37,468.1,54,2533,33.32
4.23,397.57,37.7,5.31,52.18,4.92,140.1,14,2293,46.63
2.89,238.18,49.0,5.79,97.29,4.85,454.1,39,1310,45.57
8.47,259.44,20.5,5.66,69.73,3.86,262.9,2,2579,46.07
7.3,320.43,24.9,9.86,56.93,3.94,82.3,51,1189,43.16
0.27,321.01,66.9,5.62,83.86,0.4,209.2,9,1207,68.71
7.74,258.9,24.5,9.15,29.42,2.18,50.0,4,2973,54.65
4.36,233.42,61.8,1.58,78.51,0.15,160.3,36,1684,67.44
